Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
ECOSPORT,TITANIUM PLUS ECOBOOST,2015,PETROL,1104000
ECOSPORT,TITANIUM PLUS ECOBOOST BLACK EDITION,2015,PETROL,1173000
ECOSPORT,PLATINUM EDITION,2015,PETROL,1209000
ECOSPORT,AMBIENTE,2015,DIESEL,916000
ECOSPORT,TREND,2015,DIESEL,994000
ECOSPORT,TREND PLUS ,2015,DIESEL,1024000
ECOSPORT,TREND PLUS BLACK EDITION,2015,DIESEL,1069000
ECOSPORT,TITANIUM,2015,DIESEL,1123000
ECOSPORT,TITANIUM BLACK EDITION,2015,DIESEL,1174000
ECOSPORT,TITANIUM PLUS,2015,DIESEL,1218000
ECOSPORT,TITANIUM PLUS BLACK EDITION,2015,DIESEL,1239000
ECOSPORT,PLATINUM EDITION,2015,DIESEL,1279000
ECOSPORT,AMBIENTE,2017,PETROL,875000
ECOSPORT,TREND,2017,PETROL,962000
ECOSPORT,TITANIUM,2017,PETROL,1071000
ECOSPORT,SIGNATURE,2017,PETROL,1203000
ECOSPORT,TITANIUM PLUS,2017,PETROL,1217000
ECOSPORT,S ,2017,PETROL,1322000
ECOSPORT,AMBIENTE,2017,DIESEL,961000
ECOSPORT,TREND,2017,DIESEL,1044000
ECOSPORT,TREND PLUS,2017,DIESEL,1088000
ECOSPORT,TITANIUM,2017,DIESEL,1136000
ECOSPORT,SIGNATURE,2017,DIESEL,1298000
ECOSPORT,TITANIUM PLUS,2017,DIESEL,1303000
ECOSPORT,S ,2017,DIESEL,1417000
ECOSPORT,AMBIENTE,2020,PETROL,926000
ECOSPORT,TREND,2020,PETROL,997000
ECOSPORT,TITANIUM,2020,PETROL,1123000
ECOSPORT,SE,2020,PETROL,1242000
ECOSPORT,S,2020,PETROL,1299000
ECOSPORT,AMBIENTE,2020,DIESEL,1018000
ECOSPORT,TREND,2020,DIESEL,1068000
ECOSPORT,TITANIUM,2020,DIESEL,1141000
ECOSPORT,SE,2020,DIESEL,1327000
ECOSPORT,S,2020,DIESEL,1385000
,,,,
MUSTANG,GT FASTBACK 5.0L V8,2016,PETROL,8475000
