Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
VERNA,FLUDIC VTVT 1.6 EX,2011,PETROL,865000
VERNA,FLUDIC VTVT 1.4 CX,2011,PETROL,866000
VERNA,FLUDIC VTVT 1.6 SX,2011,PETROL,911000
VERNA,FLUDIC VTVT 1.6 SX (O),2011,PETROL,1008000
VERNA,FLUDIC 1.4 CRDi,2011,DIESEL,893000
VERNA,FLUDIC 1.4 CRDi GL,2011,DIESEL,896000
VERNA,FLUDIC 1.4 CRDi EX,2011,DIESEL,926000
VERNA,FLUDIC 1.6 CRDi,2011,DIESEL,929000
VERNA,FLUDIC 1.4 CRDi CX,2011,DIESEL,993000
VERNA,FLUDIC 1.6 CRDi EX,2011,DIESEL,998000
VERNA,FLUDIC 1.6 CRDi SX,2011,DIESEL,1036000
VERNA,FLUDIC 1.6 CRDi SX OPT,2011,DIESEL,1141000
VERNA,1.4 VTVT,2015,PETROL,784000
VERNA,1.6 VTVT S,2015,PETROL,881000
VERNA,1.6 VTVT SX,2015,PETROL,965000
VERNA,1.6 VTVT SX (O),2015,PETROL,1126000
VERNA,1.4 CRDi,2015,DIESEL,909000
VERNA,1.6 CRDi,2015,DIESEL,1012000
VERNA,1.6 CRDI SX,2015,DIESEL,1130000
VERNA,1.6 CRDI SX (O),2015,DIESEL,1260000
VERNA,E 1.6 VTVT,2018,PETROL,800000
VERNA,E 1.4 VTVT,2018,PETROL,818000
VERNA,EX 1.6 VTVT,2018,PETROL,930000
VERNA,EX 1.4 VTVT,2018,PETROL,934000
VERNA,SX 1.6,2018,PETROL,1000000
VERNA,SX (O) VTVT,2018,PETROL,1174000
VERNA,SX (O) ANNIVERSARY,2018,PETROL,1179000
VERNA,E 1.6 VTVT,2018,DIESEL,944000
VERNA,E 1.4 VTVT,2018,DIESEL,962000
VERNA,EX 1.6 VTVT,2018,DIESEL,1000000
VERNA,EX 1.4 VTVT,2018,DIESEL,1044000
VERNA,SX 1.6,2018,DIESEL,1173000
VERNA,SX (O) VTVT,2018,DIESEL,1303000
VERNA,SX (O) ANNIVERSARY,2018,DIESEL,1305000
VERNA,E,2020,PETROL,932000
VERNA,S PLUS,2020,PETROL,973000
VERNA,SX,2020,PETROL,1111000
VERNA,SX (O),2020,PETROL,1297000
VERNA,S PLUS,2020,DIESEL,1092000
VERNA,SX,2020,DIESEL,1232000
VERNA,SX (O),2020,DIESEL,1421000
,,,,
AURA,E,2020,PETROL,600000
AURA,S,2020,PETROL,679000
AURA,SX,2020,PETROL,748000
AURA,SX (O),2020,PETROL,804000
AURA,SX PLUS 1.0,2020,PETROL,873000
AURA,S 1.2,2020,DIESEL,792000
AURA,SX (O) 1.2,2020,DIESEL,918000
,,,,
CRETA,BASE,2015,PETROL,919000
CRETA,E,2015,PETROL,943000
CRETA,E PLUS,2015,PETROL,999000
CRETA,S ,2015,PETROL,1020000
CRETA,SX,2015,PETROL,1212000
CRETA,SX PLUS ,2015,PETROL,1256000
CRETA,1.4 BASE,2015,DIESEL,1010000
CRETA,1.4 S,2015,DIESEL,1146000
CRETA,1.4 S PLUS,2015,DIESEL,1240000
CRETA,1.6 SX,2015,DIESEL,1266000
CRETA,1.6 SX PLUS,2015,DIESEL,1367000
CRETA,1.6 SX PLUS SPECIAL EDITION,2015,DIESEL,1412000
CRETA,1.6 SX (O),2015,DIESEL,1475000
CRETA,E,2017,PETROL,939000
CRETA,E PLUS,2017,PETROL,1000000
CRETA,SX PLUS ,2017,PETROL,1205000
CRETA,E,2017,DIESEL,1000000
CRETA,S,2017,DIESEL,1167000
CRETA,S PLUS,2017,DIESEL,1233000
CRETA,SX,2017,DIESEL,1355000
CRETA,SX PLUS ,2017,DIESEL,1379000
CRETA,SX PLUS 1.6 SPECIAL EDITON,2017,DIESEL,1394000
